trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
35813029-_17HIV-H01J017I-Dimanche-01,10:50:00,10:50:00,2618,1,0,0
35813029-_17HIV-H01J017I-Dimanche-01,10:53:00,10:53:00,5000,2,1,0
35813029-_17HIV-H01J017I-Dimanche-01,10:53:00,10:53:00,5002,3,1,0
35813029-_17HIV-H01J017I-Dimanche-01,10:54:00,10:54:00,5004,4,1,0
35813029-_17HIV-H01J017I-Dimanche-01,10:55:00,10:55:00,5003,5,0,0
35813029-_17HIV-H01J017I-Dimanche-01,10:56:00,10:56:00,5014,6,0,0
35813029-_17HIV-H01J017I-Dimanche-01,10:58:00,10:58:00,5022,7,0,0
35813029-_17HIV-H01J017I-Dimanche-01,11:05:00,11:05:00,5050,8,0,0
35813029-_17HIV-H01J017I-Dimanche-01,11:11:00,11:11:00,2612,9,0,0
35813029-_17HIV-H01J017I-Dimanche-01,11:11:00,11:11:00,2610,10,0,0
35813055-_17HIV-H01J017I-Dimanche-01,07:13:00,07:13:00,2013,1,0,0
35813055-_17HIV-H01J017I-Dimanche-01,07:14:00,07:14:00,2190,2,0,0
35813055-_17HIV-H01J017I-Dimanche-01,07:14:00,07:14:00,2188,3,0,0
35813055-_17HIV-H01J017I-Dimanche-01,07:15:00,07:15:00,2222,4,0,0
35813055-_17HIV-H01J017I-Dimanche-01,07:15:00,07:15:00,2228,5,0,0
35813055-_17HIV-H01J017I-Dimanche-01,07:16:00,07:16:00,2236,6,0,0
35813055-_17HIV-H01J017I-Dimanche-01,07:16:00,07:16:00,2240,7,0,0
35813055-_17HIV-H01J017I-Dimanche-01,07:17:00,07:17:00,2244,8,0,0
35813055-_17HIV-H01J017I-Dimanche-01,07:18:00,07:18:00,2248,9,0,0
35813055-_17HIV-H01J017I-Dimanche-01,07:18:00,07:18:00,2256,10,0,0
