route_id;route_short_name;route_long_name;route_desc;route_type;route_url
1-1054;100;RAPIBUS 100;;3;
2-1054;200;RAPIBUS 200;;3;
3-1054;300;RAPIBUS 300;;3;
4-1054;400;RAPIBUS 400;;3;
8-1054;800;RAPIBUS 800;;3;
20-1054;20;FREEMAN;;3;
21-1054;21;CASINO DU LAC-LEAMY;;3;
22-1054;22;ST-RAYMOND/LOUISE-CAMPAGNA;;3;
27-1054;27;HAUTES-PLAINES;;3;
28-1054;28;LE PLATEAU/PRÉ TUNNEY;;3;
29-1054;29;DES TREMBLES;;3;
31-1054;31;PARC DE LA MONTAGNE;;3;
32-1054;32;PARC DE LA MONTAGNE/CARRIÈRE;;3;
33-1054;33;STATION CITÉ/G-ROY/OTTAWA;;3;
35-1054;35;LAC DES FÉES;;3;
36-1054;36;CEGEP GABRIELLE-ROY;;3;
37-1054;37;CEGEP G-ROY;;3;
38-1054;38;FREEMAN;;3;
39-1054;39;FREEMAN;;3;
40-1054;40;JARDINS LAVIGNE;;3;
41-1054;41;DES CÈDRES;;3;
44-1054;44;EARDLEY;;3;
45-1054;45;WYCHWOOD;;3;
46-1054;46;EARDLEY;;3;
47-1054;47;GLENWOOD;;3;
48-1054;48;LUCERNE NORD;;3;
49-1054;49;CEGEP GABRIELLE-ROY/RIVERMEAD;;3;
50-1054;50;CEGEP GABRIELLE-ROY/RIVERMEAD;;3;
51-1054;51;GLENWOOD;;3;
52-1054;52;LAVIGNE/WYCHWOOD/VANIER;;3;
53-1054;53;VANIER/WYCHWOOD/LAVIGNE;;3;
54-1054;54;PARC CHAMPLAIN;;3;
55-1054;55;OTTAWA;;3;
58-1054;58;PRÉ TUNNEY;;3;
59-1054;59;OTTAWA;;3;
67-1054;67;FOURNIER/GRÉBER;;3;
68-1054;68;GABRIELLE ROY;;3;
75-1054;75;NOTRE-DAME;;3;
85-1054;85;CÔTE-DES-NEIGES;;3;
87-1054;87;PLACE D'ACCUEIL;;3;
93-1054;93;MASSON;;3;
95-1054;95;BUCKINGHAM;;3;
211-1054;11;PARC DE LA MONTAGNE;;3;
215-1054;15;DES ÉRABLES;;3;
217-1054;17;CEGEP GABRIELLE-ROY;;3;
220-1054;20;FREEMAN;;3;
221-1054;21;CASINO DU LAC-LEAMY;;3;
224-1054;24;LE PLATEAU;;3;
225-1054;25;LE PLATEAU;;3;
226-1054;26;LE PLATEAU;;3;
227-1054;27;HAUTES-PLAINES;;3;
233-1054;33;STATION CITÉ/G-ROY/OTTAWA;;3;
235-1054;35;LAC DES FÉES;;3;
236-1054;36;CEGEP GABRIELLE-ROY;;3;
237-1054;37;CEGEP GABRIELLE-ROY;;3;
238-1054;38;FREEMAN;;3;
261-1054;61;MONT-LUC;;3;
262-1054;62;GRÉBER nord;;3;
263-1054;63;POINTE-GATINEAU;;3;
264-1054;64;LIMBOUR;;3;
265-1054;65;CÔTE-DES-NEIGES;;3;
266-1054;66;MONTLUC DUBARRY;;3;
269-1054;69;ST-LOUIS;;3;
271-1054;71;DAVIDSON;;3;
273-1054;73;MAGNUS;;3;
274-1054;74;MALONEY;;3;
276-1054;76;LAVÉRENDRYE;;3;
277-1054;77;TRAVERSY;;3;
278-1054;78;CHEVAL BLANC sud;;3;
279-1054;79;ZONE BLANCHE;;3;
288-1054;88;STATION LABROSSE-CHEVAL BLANC;;3;
294-1054;94;MASSON-ANGERS/BUCKINGHAM;;3;
297-1054;97;MASSON BUCKINGHAM ANGERS;;3;
298-1054;98;BUCKINGHAM;;3;
321-1054;21;CASINO DU LAC-LEAMY;;3;
325-1054;325;LE PLATEAU-ST-ALEXANDRE;;3;
327-1054;327;HAUTES-PLAINES -ST-ALEXANDRE;;3;
331-1054;331;PARC DE LA MONTAGNE-ST-ALEXANDRE;;3;
333-1054;333;CGP HP ST-ALEXANDRE;;3;
338-1054;338;ST-JOSEPH  ST-ALEXANDRE;;3;
339-1054;339;LE PLATEAU-ST-ALEXANDRE;;3;
421-1054;21;CASINO DU LAC-LEAMY;;3;
431-1054;31;PARC DE LA MONTAGNE;;3;
433-1054;33;STATION CITÉ/CEGEP G-ROY/OTTAWA;;3;
435-1054;35;LAC DES FÉES;;3;
439-1054;439;LE PLATEAU - DE L'ÎLE;;3;
460-1054;60;LE BARON;;3;
533-1054;533;CITÉ DES JEUNES / PROMENADES;;3;
539-1054;539;LE PLATEAU-NOUVELLE FRONTIÈRES;;3;
564-1054;564;PLATEAU PO-NOUVELLE FRONTIÈRES;;3;
625-1054;625;LE PLATEAU-DE L'ÎLE;;3;
627-1054;627;HAUTES-PLAINES - DE L'ÎLE;;3;
629-1054;629;LE MANOIR - DE L'ÎLE;;3;
739-1054;739;LE PLATEAU - DE L'ÎLE/STJO;;3;
870-1054;870;NAVETTE ARENA GUERTIN;;3;
