trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
35813199-_17HIV-H01J017I-Dimanche-01,08:46:00,08:46:00,1004,5,0,0
35813199-_17HIV-H01J017I-Dimanche-01,08:46:00,08:46:00,1002,6,0,0
35813199-_17HIV-H01J017I-Dimanche-01,08:51:00,08:51:00,1007,15,0,0
35813201-_17HIV-H01J017I-Dimanche-01,09:46:00,09:46:00,1004,5,0,0
35813201-_17HIV-H01J017I-Dimanche-01,09:46:00,09:46:00,1002,6,0,0
35813201-_17HIV-H01J017I-Dimanche-01,09:51:00,09:51:00,1007,15,0,0
35813203-_17HIV-H01J017I-Dimanche-01,10:48:00,10:48:00,1004,5,0,0
35813203-_17HIV-H01J017I-Dimanche-01,10:48:00,10:48:00,1002,6,0,0
35813203-_17HIV-H01J017I-Dimanche-01,10:53:00,10:53:00,1007,15,0,0
35813205-_17HIV-H01J017I-Dimanche-01,11:45:00,11:45:00,1004,5,0,0
35813205-_17HIV-H01J017I-Dimanche-01,11:45:00,11:45:00,1002,6,0,0
35813205-_17HIV-H01J017I-Dimanche-01,11:50:00,11:50:00,1007,15,0,0
35813207-_17HIV-H01J017I-Dimanche-01,12:45:00,12:45:00,1004,5,0,0
35813207-_17HIV-H01J017I-Dimanche-01,12:45:00,12:45:00,1002,6,0,0
35813207-_17HIV-H01J017I-Dimanche-01,12:50:00,12:50:00,1007,15,0,0
35813209-_17HIV-H01J017I-Dimanche-01,13:45:00,13:45:00,1004,5,0,0
35813209-_17HIV-H01J017I-Dimanche-01,13:45:00,13:45:00,1002,6,0,0
35813209-_17HIV-H01J017I-Dimanche-01,13:50:00,13:50:00,1007,15,0,0
35813211-_17HIV-H01J017I-Dimanche-01,14:45:00,14:45:00,1004,5,0,0
35813211-_17HIV-H01J017I-Dimanche-01,14:45:00,14:45:00,1002,6,0,0
35813211-_17HIV-H01J017I-Dimanche-01,14:50:00,14:50:00,1007,15,0,0
35813213-_17HIV-H01J017I-Dimanche-01,15:45:00,15:45:00,1004,5,0,0
35813213-_17HIV-H01J017I-Dimanche-01,15:45:00,15:45:00,1002,6,0,0
35813213-_17HIV-H01J017I-Dimanche-01,15:50:00,15:50:00,1007,15,0,0
35813215-_17HIV-H01J017I-Dimanche-01,16:46:00,16:46:00,1004,5,0,0
35813215-_17HIV-H01J017I-Dimanche-01,16:46:00,16:46:00,1002,6,0,0
35813215-_17HIV-H01J017I-Dimanche-01,16:51:00,16:51:00,1007,15,0,0
35813217-_17HIV-H01J017I-Dimanche-01,17:46:00,17:46:00,1004,5,0,0
35813217-_17HIV-H01J017I-Dimanche-01,17:46:00,17:46:00,1002,6,0,0
35813217-_17HIV-H01J017I-Dimanche-01,17:51:00,17:51:00,1007,15,0,0
35813219-_17HIV-H01J017I-Dimanche-01,18:42:00,18:42:00,1004,5,0,0
35813219-_17HIV-H01J017I-Dimanche-01,18:42:00,18:42:00,1002,6,0,0
35813219-_17HIV-H01J017I-Dimanche-01,18:47:00,18:47:00,1007,15,0,0
35813221-_17HIV-H01J017I-Dimanche-01,19:46:00,19:46:00,1004,5,0,0
35813221-_17HIV-H01J017I-Dimanche-01,19:46:00,19:46:00,1002,6,0,0
35813221-_17HIV-H01J017I-Dimanche-01,19:51:00,19:51:00,1007,15,0,0
35813223-_17HIV-H01J017I-Dimanche-01,20:46:00,20:46:00,1004,5,0,0
35813223-_17HIV-H01J017I-Dimanche-01,20:46:00,20:46:00,1002,6,0,0
35813223-_17HIV-H01J017I-Dimanche-01,20:51:00,20:51:00,1007,15,0,0
35813225-_17HIV-H01J017I-Dimanche-01,21:46:00,21:46:00,1004,5,0,0
35813225-_17HIV-H01J017I-Dimanche-01,21:46:00,21:46:00,1002,6,0,0
35813225-_17HIV-H01J017I-Dimanche-01,21:51:00,21:51:00,1007,15,0,0
35813227-_17HIV-H01J017I-Dimanche-01,22:46:00,22:46:00,1004,5,0,0
35813227-_17HIV-H01J017I-Dimanche-01,22:46:00,22:46:00,1002,6,0,0
35813227-_17HIV-H01J017I-Dimanche-01,22:51:00,22:51:00,1007,15,0,0
35813228-_17HIV-H01J017I-Dimanche-01,07:21:00,07:21:00,1000,58,0,0
35813228-_17HIV-H01J017I-Dimanche-01,07:21:00,07:21:00,1006,59,0,0
35813230-_17HIV-H01J017I-Dimanche-01,08:21:00,08:21:00,1000,58,0,0
35813230-_17HIV-H01J017I-Dimanche-01,08:21:00,08:21:00,1006,59,0,0
35813232-_17HIV-H01J017I-Dimanche-01,09:21:00,09:21:00,1000,58,0,0
35813232-_17HIV-H01J017I-Dimanche-01,09:21:00,09:21:00,1006,59,0,0
35813234-_17HIV-H01J017I-Dimanche-01,10:25:00,10:25:00,1000,58,0,0
35813234-_17HIV-H01J017I-Dimanche-01,10:25:00,10:25:00,1006,59,0,0
35813236-_17HIV-H01J017I-Dimanche-01,11:25:00,11:25:00,1000,58,0,0
35813236-_17HIV-H01J017I-Dimanche-01,11:25:00,11:25:00,1006,59,0,0
35813238-_17HIV-H01J017I-Dimanche-01,12:25:00,12:25:00,1000,58,0,0
35813238-_17HIV-H01J017I-Dimanche-01,12:25:00,12:25:00,1006,59,0,0
35813240-_17HIV-H01J017I-Dimanche-01,13:25:00,13:25:00,1000,58,0,0
35813240-_17HIV-H01J017I-Dimanche-01,13:25:00,13:25:00,1006,59,0,0
35813242-_17HIV-H01J017I-Dimanche-01,14:25:00,14:25:00,1000,58,0,0
35813242-_17HIV-H01J017I-Dimanche-01,14:25:00,14:25:00,1006,59,0,0
35813244-_17HIV-H01J017I-Dimanche-01,15:25:00,15:25:00,1000,58,0,0
35813244-_17HIV-H01J017I-Dimanche-01,15:25:00,15:25:00,1006,59,0,0
35813246-_17HIV-H01J017I-Dimanche-01,16:28:00,16:28:00,1000,58,0,0
35813246-_17HIV-H01J017I-Dimanche-01,16:28:00,16:28:00,1006,59,0,0
35813248-_17HIV-H01J017I-Dimanche-01,17:28:00,17:28:00,1000,58,0,0
35813248-_17HIV-H01J017I-Dimanche-01,17:28:00,17:28:00,1006,59,0,0
35813250-_17HIV-H01J017I-Dimanche-01,18:28:00,18:28:00,1000,58,0,0
35813250-_17HIV-H01J017I-Dimanche-01,18:28:00,18:28:00,1006,59,0,0
35813252-_17HIV-H01J017I-Dimanche-01,19:24:00,19:24:00,1000,58,0,0
35813252-_17HIV-H01J017I-Dimanche-01,19:24:00,19:24:00,1006,59,0,0
35813254-_17HIV-H01J017I-Dimanche-01,20:24:00,20:24:00,1000,58,0,0
