route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
221-1054,_17HIV-H01J017I-Dimanche-01,35813029-_17HIV-H01J017I-Dimanche-01,CASINO,0,4841903,2210162,0
221-1054,_17HIV-H01J017I-Dimanche-01,35813030-_17HIV-H01J017I-Dimanche-01,CASINO,0,4841930,2210162,0
221-1054,_17HIV-H01J017I-Dimanche-01,35813031-_17HIV-H01J017I-Dimanche-01,CASINO,0,4841938,2210162,0
221-1054,_17HIV-H01J017I-Dimanche-01,35813032-_17HIV-H01J017I-Dimanche-01,CASINO,0,4841935,2210162,0
421-1054,_17HIV-H01J017I-Dimanche-01,35813033-_17HIV-H01J017I-Dimanche-01,CASINO,0,4841916,4210017,0
421-1054,_17HIV-H01J017I-Dimanche-01,35813034-_17HIV-H01J017I-Dimanche-01,CASINO,0,4841997,4210017,0
421-1054,_17HIV-H01J017I-Dimanche-01,35813035-_17HIV-H01J017I-Dimanche-01,CASINO,0,4842010,4210017,0
421-1054,_17HIV-H01J017I-Dimanche-01,35813036-_17HIV-H01J017I-Dimanche-01,CASINO,0,4841966,4210017,0
421-1054,_17HIV-H01J017I-Dimanche-01,35813037-_17HIV-H01J017I-Dimanche-01,CASINO,0,4841979,4210017,0
221-1054,_17HIV-H01J017I-Dimanche-01,35813038-_17HIV-H01J017I-Dimanche-01,CASINO,0,4842016,2210162,0
221-1054,_17HIV-H01J017I-Dimanche-01,35813039-_17HIV-H01J017I-Dimanche-01,CASINO,0,4841979,2210162,0
221-1054,_17HIV-H01J017I-Dimanche-01,35813040-_17HIV-H01J017I-Dimanche-01,CASINO,0,4841972,2210162,0
221-1054,_17HIV-H01J017I-Dimanche-01,35813041-_17HIV-H01J017I-Dimanche-01,CASINO,0,4842027,2210162,0
221-1054,_17HIV-H01J017I-Dimanche-01,35813042-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841930,2210161,0
221-1054,_17HIV-H01J017I-Dimanche-01,35813043-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841938,2210161,0
221-1054,_17HIV-H01J017I-Dimanche-01,35813044-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841935,2210161,0
221-1054,_17HIV-H01J017I-Dimanche-01,35813045-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841916,2210161,0
221-1054,_17HIV-H01J017I-Dimanche-01,35813046-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841997,2210161,0
221-1054,_17HIV-H01J017I-Dimanche-01,35813047-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4842010,2210161,0
221-1054,_17HIV-H01J017I-Dimanche-01,35813048-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841966,2210161,0
221-1054,_17HIV-H01J017I-Dimanche-01,35813049-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841979,2210161,0
221-1054,_17HIV-H01J017I-Dimanche-01,35813050-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4842016,2210161,0
221-1054,_17HIV-H01J017I-Dimanche-01,35813051-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841979,2210161,0
221-1054,_17HIV-H01J017I-Dimanche-01,35813052-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841972,2210161,0
221-1054,_17HIV-H01J017I-Dimanche-01,35813053-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4842027,2210161,0
221-1054,_17HIV-H01J017I-Dimanche-01,35813054-_17HIV-H01J017I-Dimanche-01,CASINO,1,4841903,2210161,0
31-1054,_17HIV-H01J017I-Dimanche-01,35813055-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841923,310244,0
31-1054,_17HIV-H01J017I-Dimanche-01,35813056-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841907,310244,0
31-1054,_17HIV-H01J017I-Dimanche-01,35813057-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841921,310244,0
31-1054,_17HIV-H01J017I-Dimanche-01,35813058-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841928,310244,0
31-1054,_17HIV-H01J017I-Dimanche-01,35813059-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841934,310244,0
31-1054,_17HIV-H01J017I-Dimanche-01,35813060-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841914,310244,0
31-1054,_17HIV-H01J017I-Dimanche-01,35813061-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841956,310244,0
31-1054,_17HIV-H01J017I-Dimanche-01,35813062-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841983,310244,0
31-1054,_17HIV-H01J017I-Dimanche-01,35813063-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4842017,310244,0
31-1054,_17HIV-H01J017I-Dimanche-01,35813064-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4842005,310244,0
31-1054,_17HIV-H01J017I-Dimanche-01,35813065-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4842008,310244,0
31-1054,_17HIV-H01J017I-Dimanche-01,35813066-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4842002,310244,0
31-1054,_17HIV-H01J017I-Dimanche-01,35813067-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4842007,310244,0
31-1054,_17HIV-H01J017I-Dimanche-01,35813068-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4842009,310244,0
31-1054,_17HIV-H01J017I-Dimanche-01,35813069-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841991,310244,0
31-1054,_17HIV-H01J017I-Dimanche-01,35813070-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4842025,310244,0
31-1054,_17HIV-H01J017I-Dimanche-01,35813071-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841971,310244,0
431-1054,_17HIV-H01J017I-Dimanche-01,35813072-_17HIV-H01J017I-Dimanche-01,CEGEP GROY,0,4841923,4310098,0
431-1054,_17HIV-H01J017I-Dimanche-01,35813073-_17HIV-H01J017I-Dimanche-01,CEGEP GROY,0,4841928,4310098,0
431-1054,_17HIV-H01J017I-Dimanche-01,35813074-_17HIV-H01J017I-Dimanche-01,CEGEP GROY,0,4841932,4310098,0
431-1054,_17HIV-H01J017I-Dimanche-01,35813075-_17HIV-H01J017I-Dimanche-01,CEGEP GROY,0,4841914,4310098,0
431-1054,_17HIV-H01J017I-Dimanche-01,35813076-_17HIV-H01J017I-Dimanche-01,CEGEP GROY,0,4841921,4310098,0
431-1054,_17HIV-H01J017I-Dimanche-01,35813077-_17HIV-H01J017I-Dimanche-01,CEGEP GROY,0,4841926,4310098,0
431-1054,_17HIV-H01J017I-Dimanche-01,35813078-_17HIV-H01J017I-Dimanche-01,CEGEP GROY,0,4841925,4310098,0
431-1054,_17HIV-H01J017I-Dimanche-01,35813079-_17HIV-H01J017I-Dimanche-01,CEGEP GROY,0,4841931,4310098,0
431-1054,_17HIV-H01J017I-Dimanche-01,35813080-_17HIV-H01J017I-Dimanche-01,CEGEP GROY,0,4841936,4310098,0
431-1054,_17HIV-H01J017I-Dimanche-01,35813081-_17HIV-H01J017I-Dimanche-01,CEGEP GROY,0,4842002,4310098,0
431-1054,_17HIV-H01J017I-Dimanche-01,35813082-_17HIV-H01J017I-Dimanche-01,CEGEP GROY,0,4842007,4310098,0
431-1054,_17HIV-H01J017I-Dimanche-01,35813083-_17HIV-H01J017I-Dimanche-01,CEGEP GROY,0,4842009,4310098,0
431-1054,_17HIV-H01J017I-Dimanche-01,35813084-_17HIV-H01J017I-Dimanche-01,CEGEP GROY,0,4841991,4310098,0
431-1054,_17HIV-H01J017I-Dimanche-01,35813085-_17HIV-H01J017I-Dimanche-01,CEGEP GROY,0,4842025,4310098,0
431-1054,_17HIV-H01J017I-Dimanche-01,35813086-_17HIV-H01J017I-Dimanche-01,CEGEP GROY,0,4842026,4310098,0
431-1054,_17HIV-H01J017I-Dimanche-01,35813087-_17HIV-H01J017I-Dimanche-01,CEGEP GROY,0,4842019,4310098,0
431-1054,_17HIV-H01J017I-Dimanche-01,35813088-_17HIV-H01J017I-Dimanche-01,CEGEP GROY,0,4841965,4310098,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813089-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841932,330585,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813090-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841914,330585,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813091-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841921,330585,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813092-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841926,330585,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813093-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841925,330585,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813094-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841931,330585,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813095-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841936,330585,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813096-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4842002,330585,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813097-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4842007,330585,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813098-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4842009,330585,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813099-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841991,330585,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813100-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4842025,330585,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813101-_17HIV-H01J017I-Dimanche-01,LA CITÉ,0,4841928,330587,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813102-_17HIV-H01J017I-Dimanche-01,LA CITÉ,0,4841934,330587,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813103-_17HIV-H01J017I-Dimanche-01,LA CITÉ,0,4841914,330587,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813104-_17HIV-H01J017I-Dimanche-01,LA CITÉ,0,4841956,330587,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813105-_17HIV-H01J017I-Dimanche-01,LA CITÉ,0,4841983,330587,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813106-_17HIV-H01J017I-Dimanche-01,LA CITÉ,0,4842017,330587,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813107-_17HIV-H01J017I-Dimanche-01,LA CITÉ,0,4842005,330587,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813108-_17HIV-H01J017I-Dimanche-01,LA CITÉ,0,4842008,330587,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813109-_17HIV-H01J017I-Dimanche-01,LA CITÉ,0,4842002,330587,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813110-_17HIV-H01J017I-Dimanche-01,LA CITÉ,0,4842007,330587,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813111-_17HIV-H01J017I-Dimanche-01,LA CITÉ,0,4842009,330587,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813112-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841928,330585,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813113-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4842026,330585,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813114-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4842019,330585,0
33-1054,_17HIV-H01J017I-Dimanche-01,35813115-_17HIV-H01J017I-Dimanche-01,OTTAWA,1,4841965,330585,0
